stars,comment
5.0 out of 5 stars,"Shandarr
            "
5.0 out of 5 stars,"Gud
            "
5.0 out of 5 stars,"Good product
            "
5.0 out of 5 stars,"Very good
            "
5.0 out of 5 stars,"Very fast
            "
5.0 out of 5 stars,"It’s good
            "
5.0 out of 5 stars,"This product is sealed and good quality. Worth to buy it online instead buying in store.I simply loved it and good and easy in buying in EMI’s with the CC cards
            "
5.0 out of 5 stars,"It's lightning fast
            "
5.0 out of 5 stars,"👍
            "
5.0 out of 5 stars,"Classy phone
            "
5.0 out of 5 stars,"Great product
            "
5.0 out of 5 stars,"Great product and technology
            "
5.0 out of 5 stars,"Good battery
            "
1.0 out of 5 stars,"Do not buy one plus phones. I bought one plus 3t  a year back and today the phone is working fine but One plus induced a bug in the phone so that people buy newer versions. The earpiece volume is so low that the phone is almost useless without an extra headphone.These greedy companies need to be taught lesson.Its your money your choice.
            "
5.0 out of 5 stars,"Both are great.Lots of simmilarity.6T doesn't have a headphone jack. Its on-screen fingerprint sensor slow.So please compare both before buying. Not much difference in technology
            "
5.0 out of 5 stars,"Superb
            "
5.0 out of 5 stars,"Superb Phone do not think much before you buy it.
            "
5.0 out of 5 stars,"Love it
            "
5.0 out of 5 stars,"Good
            "
5.0 out of 5 stars,"Awsm
            "
1.0 out of 5 stars,"Not match the price 265 storage no need for only 64 is sufficient poor quality price is maximum upto 15000
            "
5.0 out of 5 stars,"Best for video n camera . Phone lags a bit . For Gaming 5*
            "
1.0 out of 5 stars,"No headset connecter inside the box
            "
5.0 out of 5 stars,"Over all performance is good
            "
4.0 out of 5 stars,"Great value for money
            "
5.0 out of 5 stars,"Awesome 😍😍😍
            "
4.0 out of 5 stars,"Not as good as iPhone. Hangs often.
            "
3.0 out of 5 stars,"Lag in fingerprint rest built quality is good wd good cam, value for money product
            "
5.0 out of 5 stars,"Awesome
            "
5.0 out of 5 stars,"Speechless don't know what to write about this beast, but one thing this smart phone is far better than other smart phones in this range.
            "
3.0 out of 5 stars,"Phone is not that fast as my expectations.I was previously using Mi Poco f1 mobile and I'm much satisfied with Mi Poco f1 mobile than this 6t and even features are more likely that 6t and aslo having a plenty of features on Poco f1.
            "
5.0 out of 5 stars,"One Plus 6T is one of the best premium phones in 50000 Rs category. You won't get this feature, experience and storage in any other model. If you have not used One Plus phones then you are guaranteed to get a greater experience
            "
4.0 out of 5 stars,"Superb performance
            "
5.0 out of 5 stars,"Too good phone
            "
5.0 out of 5 stars,"Price too high
            "
4.0 out of 5 stars,"This is not a phone rather it’s just a machine. Very fast response, no lagging faced till now. Battery management is awesome. I found one cons within 1 month of use: finger scan sensor is too slow to respond. As I used face recognition, I didn’t face too much problem.
            "
5.0 out of 5 stars,"best ever
            "
5.0 out of 5 stars,"My second phone from OnePlus after OnePlus One.Never disappointed.
            "
